h1tg000009l_path	202535	948983	21.1271	0.00771412
h1tg000017l_path	84593	439811	21.6323	0.00686707
h1tg000016l_path	116949	562529	21.2551	0.00749006
h1tg000015l_path	114880	576505	21.4611	0.00714311
h1tg000014l_path	286907	1531698	21.7599	0.00666829
h1tg000013l_path	47816	318611	22.8136	0.00523171
h1tg000012l_path	142274	813009	22.0858	0.00618621
h1tg000011l_path	53575	230276	20.7027	0.00850618
h1tg000010l_path	49965	85820	15.5656	0.0277612
h1tg000001l_path	59800	271910	20.9801	0.0079798
h1tg000008l_path	211752	1091809	21.5921	0.00693086
h1tg000007l_path	189242	1078069	22.071	0.00620724
h1tg000006l_path	133104	784281	22.2318	0.00598158
h1tg000005l_path	164401	923422	22.0035	0.00630446
h1tg000004l_path	114976	667150	22.1588	0.00608309
h1tg000003l_path	133824	745621	21.9648	0.00636087
h1tg000002l_path	208965	1090974	21.6524	0.00683537
